fold,mae,rmse,r2,pearson,spearman,samples
1,0.9354844689369202,1.3939130306243896,0.5346683859825134,0.7375237345695496,0.6661032438278198,220
2,1.0940537452697754,1.60526704788208,0.47788548469543457,0.6954408288002014,0.6826163530349731,219
3,0.9022027850151062,1.359480857849121,0.476642906665802,0.7076744437217712,0.7103891372680664,219
4,0.9947072863578796,1.4094793796539307,0.5765235424041748,0.7641689777374268,0.7122316360473633,220
5,0.9435619115829468,1.4020260572433472,0.6426701545715332,0.8025567531585693,0.7532381415367126,219
