fold,mae,rmse,r2,pearson,spearman
1,1.0244906173705535,1.6288902060568573,0.49462733871235653,0.717041317720472,0.7015032629152999
2,0.914626235017514,1.3772661212448407,0.586969027106278,0.7715520274391214,0.7141154384707145
3,0.8531451517345765,1.2466579368660142,0.4831738447377628,0.7094420463816258,0.7309149441532738
4,0.9821641930957028,1.4444904487694101,0.5986097988055896,0.7844325601901315,0.7882031821970051
5,0.9890221462484998,1.4076169402226697,0.5815549604122433,0.7657579758624953,0.7380744274088169
