fold,mae,rmse,r2,pearson,spearman,samples
1,1.0188732147216797,1.593299150466919,0.2449689507484436,0.5092228055000305,0.41028106212615967,65
2,1.1193974018096924,1.6802500486373901,0.3092918395996094,0.5670321583747864,0.7038583159446716,65
3,0.9075279831886292,1.4528568983078003,0.44147056341171265,0.6777161359786987,0.5818492770195007,65
4,1.0855772495269775,1.5736885070800781,0.30514079332351685,0.5683538913726807,0.6417760252952576,64
5,0.952324390411377,1.3717589378356934,0.37883198261260986,0.6186065673828125,0.6152905821800232,65
6,0.9085144996643066,1.3074363470077515,0.5400878190994263,0.7453144192695618,0.6201369166374207,64
7,1.5310304164886475,2.2244746685028076,0.3025672435760498,0.5713470578193665,0.6767011284828186,64
8,0.8796612024307251,1.2312079668045044,0.28467655181884766,0.59763503074646,0.6443676948547363,64
9,1.025032877922058,1.3998976945877075,0.36677974462509155,0.6130706667900085,0.602974534034729,63
10,0.7958130240440369,1.3130080699920654,0.5482416749000549,0.7457126975059509,0.6907063722610474,64
