fold,mae,rmse,r2,pearson,spearman,samples,valid_samples
1,0.8562361426369359,1.1595827763080797,0.6554588388642584,0.8159699907009413,0.6887617582192062,114,114
2,1.0440744667269457,1.5927788417899642,0.6242510658675797,0.8042518061998905,0.721465687788128,113,113
3,0.8299853612253741,1.1370913093724695,0.6148323666995001,0.794861145505208,0.7299486200624189,113,113
4,0.8788999270490404,1.186622949321898,0.8458888287335194,0.9222612013254372,0.8120217579346597,113,113
5,0.8467861835945427,1.2204536028429247,0.6706625682748333,0.825246299062865,0.6752570567267628,113,113
6,1.0442325362845064,1.4492965326108826,0.6447138941282691,0.8318179834381245,0.7212404377395111,113,113
7,0.7699681325160517,1.0533261900607036,0.8503738217749087,0.922918945912935,0.8395963365434107,113,113
8,0.8489014016144841,1.2812125924576934,0.7560762131070872,0.8797170908436331,0.8345133461021478,113,113
9,0.9317116314725552,1.2928236756311309,0.6181221117302729,0.7968920702448025,0.7566112042250711,113,113
10,1.0876734472904463,1.510153367790008,0.6905510533894956,0.8350642716620471,0.639926641674652,113,113
