fold,mae,rmse,r2,pearson,spearman,samples
1,1.0056897401809692,1.5872019529342651,0.2507365942001343,0.5127503275871277,0.3981728255748749,65
2,1.3216055631637573,1.7906526327133179,0.2155424952507019,0.4855947196483612,0.595125138759613,65
3,0.9594252109527588,1.4927772283554077,0.4103553295135498,0.652667224407196,0.5352751016616821,65
4,0.9890697598457336,1.5302265882492065,0.34299182891845703,0.5901837944984436,0.6387763023376465,64
5,0.9754781126976013,1.316365122795105,0.4279865622520447,0.6682173013687134,0.5899232029914856,65
6,0.8612780570983887,1.3064563274383545,0.5407771468162537,0.7379185557365417,0.6999839544296265,64
7,1.5536304712295532,2.1709513664245605,0.33572548627853394,0.5872879028320312,0.7033179998397827,64
8,0.8709495067596436,1.2404568195343018,0.27388906478881836,0.5902078747749329,0.5692685842514038,64
9,0.9424517154693604,1.314928412437439,0.4413157105445862,0.6724663972854614,0.6648420691490173,63
10,0.7261863946914673,1.276198148727417,0.5732165575027466,0.8172448873519897,0.7420530319213867,64
