fold,mae,rmse,r2,pearson,spearman,samples
1,1.0840435527441177,1.6040286490578128,0.3838088367171464,0.6200531476260897,0.5092244456649808,220
2,1.3946684161107563,1.9729324846284515,0.2113294224344132,0.5141286975786747,0.4164946514715767,219
3,1.0581282016106628,1.5936482103434235,0.2781987006044424,0.5309798933504812,0.4974247297734855,220
4,0.9878480199321428,1.4932826793462488,0.5246692483253008,0.7409983739386478,0.6954472072557274,220
5,1.0787735278134716,1.715971486241092,0.4647246541783651,0.6961340914939946,0.6239717887854799,219
