fold,mae,rmse,r2,pearson,spearman,samples
1,0.8477283716201782,1.3280143737792969,0.5776263475418091,0.7629380226135254,0.6973069906234741,220
2,1.0795961618423462,1.5746278762817383,0.49762606620788574,0.7067925333976746,0.6760519742965698,219
3,0.8689581751823425,1.2876425981521606,0.5304924249649048,0.7388266324996948,0.7327723503112793,219
4,0.9028194546699524,1.2788434028625488,0.6513845920562744,0.8081287145614624,0.7726315259933472,220
5,1.046381950378418,1.5011729001998901,0.5903447866439819,0.7838956117630005,0.7256892919540405,219
