fold,mae,rmse,r2,pearson,spearman,samples
1,0.9461408853530884,1.3899972438812256,0.5372791290283203,0.7347877025604248,0.6487705111503601,220
2,1.0370044708251953,1.5695286989212036,0.5008745193481445,0.7109903693199158,0.7038602828979492,219
3,0.8713299036026001,1.3043031692504883,0.5182640552520752,0.7252978086471558,0.7461243271827698,219
4,0.9551542401313782,1.3763784170150757,0.5961803197860718,0.7758939266204834,0.7347477674484253,220
5,0.9212302565574646,1.423265814781189,0.6317615509033203,0.7953964471817017,0.7896733283996582,219
