fold,mae,rmse,r2,pearson,spearman,samples
1,0.8627464771270752,1.1274912357330322,0.6742653250694275,0.8280483484268188,0.7471734285354614,114
2,0.9385129809379578,1.250460147857666,0.7684063911437988,0.876824140548706,0.8175563216209412,113
3,0.8481574654579163,1.130435585975647,0.6193281412124634,0.7915194630622864,0.7258814573287964,113
4,0.9503999948501587,1.2423882484436035,0.8310636281967163,0.913518488407135,0.7859804034233093,113
5,0.9413113594055176,1.3500276803970337,0.597019612789154,0.7790989875793457,0.6595955491065979,113
6,0.865293025970459,1.1338002681732178,0.7825613021850586,0.8847770690917969,0.8164066672325134,113
7,0.8348017334938049,1.0999045372009277,0.836848258972168,0.9152304530143738,0.8421540260314941,113
8,0.8654374480247498,1.1794204711914062,0.7932958602905273,0.8907646536827087,0.8504533767700195,113
9,0.964782178401947,1.2299343347549438,0.6543713808059692,0.811206042766571,0.6962609887123108,113
10,1.0012000799179077,1.3610811233520508,0.7486291527748108,0.8731196522712708,0.7409898042678833,113
