fold,mae,rmse,r2,pearson,spearman,samples
1,0.9036318063735962,1.1803982257843018,0.6429781913757324,0.814303457736969,0.7144317626953125,114
2,1.1428121328353882,1.542067050933838,0.6477967500686646,0.8055639266967773,0.6872687935829163,113
3,1.0036635398864746,1.3181445598602295,0.4824107885360718,0.7035692930221558,0.627592146396637,113
4,0.961509644985199,1.2379950284957886,0.8322561979293823,0.9139453172683716,0.8030973076820374,113
5,1.0022540092468262,1.336909532546997,0.6048130393028259,0.7805942296981812,0.6549752950668335,113
6,1.04420804977417,1.3955047130584717,0.6705979704856873,0.8228532671928406,0.749722957611084,113
7,0.9199208617210388,1.2517017126083374,0.7887077927589417,0.8889983296394348,0.7514352798461914,113
8,1.0464860200881958,1.3869086503982544,0.7141702175140381,0.8530235290527344,0.7688235640525818,113
9,0.9838287234306335,1.3285491466522217,0.5967252254486084,0.7753604650497437,0.6532564163208008,113
10,1.2290117740631104,1.5904829502105713,0.6567544341087341,0.8140511512756348,0.5896944999694824,113
