fold,mae,rmse,r2,pearson,spearman,samples
1,0.9419902563095093,1.3685336112976074,0.5514589548110962,0.744793176651001,0.6468226909637451,220
2,1.1552305221557617,1.686099648475647,0.42397987842559814,0.6536792516708374,0.6004542112350464,219
3,0.9787169694900513,1.427217721939087,0.4231905937194824,0.6650670170783997,0.5993025898933411,219
4,0.9075517058372498,1.4053950309753418,0.5789742469787598,0.7664227485656738,0.7711576819419861,220
5,1.0234636068344116,1.5325276851654053,0.573053240776062,0.7637255191802979,0.6914453506469727,219
