fold,mae,rmse,r2,pearson,spearman,samples
1,1.0583816766738892,1.576097846031189,0.4050813913345337,0.6378927230834961,0.5722536444664001,220
2,1.1298140287399292,1.6219429969787598,0.4669814705848694,0.6899380683898926,0.6266859173774719,219
3,0.9199314713478088,1.3020074367523193,0.5199584364891052,0.7309045791625977,0.6760467290878296,219
4,0.9744701981544495,1.4390852451324463,0.5585466027259827,0.7482579946517944,0.7272080183029175,220
5,1.0255523920059204,1.5381916761398315,0.5698915123939514,0.7625292539596558,0.7539380788803101,219
