fold,mae,rmse,r2,pearson,spearman,samples
1,0.9830272197723389,1.4707194566726685,0.4819747805595398,0.6956608295440674,0.6468677520751953,220
2,1.0141406059265137,1.5527058839797974,0.511516809463501,0.7236965894699097,0.6773914694786072,219
3,1.0036320686340332,1.3778198957443237,0.4624277353286743,0.680544912815094,0.5924555063247681,219
4,0.9335117936134338,1.393275260925293,0.5862045288085938,0.7738105654716492,0.7426387071609497,220
5,1.1870174407958984,1.6120253801345825,0.5276098251342773,0.7269566059112549,0.5553182363510132,219
