fold,mae,rmse,r2,pearson,spearman,samples
1,0.9449974894523621,1.3904292583465576,0.5369914174079895,0.7436731457710266,0.6705608367919922,220
2,1.054724097251892,1.6161837577819824,0.4707599878311157,0.6880407929420471,0.708121657371521,219
3,0.9147209525108337,1.3826721906661987,0.45863473415374756,0.6798577308654785,0.7096229791641235,219
4,0.9244524836540222,1.2599128484725952,0.6616291999816895,0.8204776048660278,0.7364926934242249,220
5,0.9911956787109375,1.448828101158142,0.6184154152870178,0.7870844006538391,0.7524296045303345,219
