fold,mae,rmse,r2,pearson,spearman,samples
1,0.9683545827865601,1.4159106016159058,0.5198654532432556,0.7262429594993591,0.6956798434257507,220
2,1.0143541097640991,1.5322526693344116,0.524301290512085,0.7281771898269653,0.7260615229606628,219
3,0.8724608421325684,1.2833157777786255,0.5336424112319946,0.7385987043380737,0.7106919288635254,219
4,0.9541845321655273,1.3911157846450806,0.5874862670898438,0.7704343199729919,0.7599754333496094,220
5,0.8942767381668091,1.4207677841186523,0.6330530643463135,0.8001978397369385,0.7701332569122314,219
