fold,mae,rmse,r2,pearson,spearman,samples
1,0.8948450088500977,1.3923200368881226,0.535731315612793,0.7560040354728699,0.6857259273529053,220
2,1.2322183847427368,1.6868337392807007,0.4234781265258789,0.6545867919921875,0.6172785758972168,219
3,0.966144859790802,1.3853061199188232,0.45657020807266235,0.6778631806373596,0.6672560572624207,219
4,0.8618612885475159,1.264774203300476,0.6590129733085632,0.8121330142021179,0.7919999957084656,220
5,1.0724512338638306,1.5803849697113037,0.5459717512130737,0.7416757345199585,0.7143189907073975,219
