fold,mae,rmse,r2,pearson,spearman,samples
1,0.9967440366744995,1.4543465375900269,0.49344444274902344,0.7049621939659119,0.5735223293304443,220
2,1.1530410051345825,1.6838480234146118,0.4255172610282898,0.66437828540802,0.6076111793518066,219
3,0.9432743787765503,1.4602537155151367,0.39617854356765747,0.6424607038497925,0.5812892913818359,219
4,0.9267632365226746,1.352781891822815,0.6099076271057129,0.7816384434700012,0.7138553261756897,220
5,1.031618356704712,1.6205471754074097,0.5226021409034729,0.7292694449424744,0.6834789514541626,219
