fold,mae,rmse,r2,pearson,spearman,samples
1,0.9526214003562927,1.2708946466445923,0.5861368775367737,0.7808407545089722,0.7289800047874451,114
2,0.9730454087257385,1.345914363861084,0.7316994071006775,0.8562076091766357,0.7851060628890991,113
3,0.8966609239578247,1.1995790004730225,0.5713362693786621,0.7731527090072632,0.7119292616844177,113
4,0.928755521774292,1.1930891275405884,0.8442046642303467,0.9189208149909973,0.7657694816589355,113
5,1.0219292640686035,1.337189793586731,0.6046473979949951,0.7822402715682983,0.698075532913208,113
6,1.0023975372314453,1.3408753871917725,0.6958831548690796,0.8367298245429993,0.7141790986061096,113
7,0.8164517283439636,1.0532282590866089,0.8504016399383545,0.9224216341972351,0.789402186870575,113
8,0.9784256815910339,1.2967201471328735,0.7501356601715088,0.8677768707275391,0.8291611671447754,113
9,0.9113306999206543,1.2297049760818481,0.6545002460479736,0.8205114006996155,0.732499361038208,113
10,1.021262526512146,1.353688359260559,0.7513524293899536,0.871423065662384,0.7052338719367981,113
