fold,mae,rmse,r2,pearson,spearman,samples
1,0.8511289954185486,1.3848356008529663,0.5407092571258545,0.7506940364837646,0.6851758360862732,220
2,1.0120431184768677,1.5577583312988281,0.5083326101303101,0.7149441838264465,0.7061586976051331,219
3,0.8893856406211853,1.3073430061340332,0.5160160064697266,0.7242505550384521,0.7008665800094604,219
4,0.982903778553009,1.3910804986953735,0.5875071287155151,0.7702821493148804,0.7161553502082825,220
5,1.128618836402893,1.609546422958374,0.5290616154670715,0.7426156997680664,0.6553586721420288,219
