fold,mae,rmse,r2,pearson,spearman,samples
1,1.070248007774353,1.5935090780258179,0.24477005004882812,0.5094961524009705,0.43401670455932617,65
2,1.202498435974121,1.7154396772384644,0.28005778789520264,0.5596461892127991,0.7005355954170227,65
3,0.9984040260314941,1.4561128616333008,0.4389643669128418,0.672792911529541,0.5215433835983276,65
4,0.9833565354347229,1.531677007675171,0.3417457342147827,0.5905405879020691,0.6750704050064087,64
5,0.9139690399169922,1.3562551736831665,0.3927937150001526,0.6355392336845398,0.5916945338249207,65
6,0.9328064322471619,1.3945878744125366,0.4767304062843323,0.6936135292053223,0.6765817403793335,64
7,1.4753007888793945,2.178290367126465,0.331226646900177,0.5940049290657043,0.7197099328041077,64
8,0.7582967877388,1.1910078525543213,0.33062589168548584,0.5826310515403748,0.6177462339401245,64
9,1.0292867422103882,1.392796277999878,0.3731878995895386,0.6186546087265015,0.5992293357849121,63
10,0.8394954204559326,1.3837847709655762,0.4982256293296814,0.7071863412857056,0.623007595539093,64
