fold,mae,rmse,r2,pearson,spearman,samples
1,1.0867276191711426,1.557382345199585,0.2786257863044739,0.5340142250061035,0.39395463466644287,65
2,1.2094143629074097,1.7288165092468262,0.2687860131263733,0.5264931321144104,0.6563558578491211,65
3,0.8941358327865601,1.3509845733642578,0.5170511603355408,0.7297958731651306,0.6233068704605103,65
4,0.9345664978027344,1.411861777305603,0.44070154428482056,0.6702834367752075,0.6692770719528198,64
5,0.9060251116752625,1.302468180656433,0.44000041484832764,0.6879233717918396,0.610151469707489,65
6,0.8710148334503174,1.2747076749801636,0.5628253817558289,0.7665961980819702,0.6753222942352295,64
7,1.5095149278640747,2.2426061630249023,0.2911515235900879,0.5763827562332153,0.6947208046913147,64
8,0.7987627387046814,1.0989025831222534,0.4301532506942749,0.7043956518173218,0.5937135815620422,64
9,0.9558666348457336,1.4126960039138794,0.3551486134529114,0.6000336408615112,0.6719963550567627,63
10,0.9344349503517151,1.4878928661346436,0.41988420486450195,0.6567983031272888,0.6031742691993713,64
