fold,mae,rmse,r2,pearson,spearman,samples
1,1.1131336688995361,1.6000300645828247,0.23857629299163818,0.49124401807785034,0.2638457715511322,65
2,1.230501651763916,1.7332994937896729,0.26498883962631226,0.5186494588851929,0.5536124110221863,65
3,0.8670595288276672,1.3425151109695435,0.5230874419212341,0.7340531945228577,0.6887294054031372,65
4,1.0275225639343262,1.6344746351242065,0.25042402744293213,0.523903489112854,0.5695083737373352,64
5,0.9119341373443604,1.5255967378616333,0.2316962480545044,0.4942466914653778,0.5000001192092896,65
6,0.9355720281600952,1.484791874885559,0.40684956312179565,0.6978042125701904,0.688511848449707,64
7,1.0993878841400146,1.8002943992614746,0.5431912541389465,0.7681831121444702,0.7185636758804321,64
8,0.7532265782356262,1.014563798904419,0.5142661333084106,0.7350186705589294,0.49483388662338257,64
9,0.9351587295532227,1.3777927160263062,0.3866194486618042,0.6386474370956421,0.6287347078323364,63
10,0.9820365905761719,1.6277674436569214,0.30568575859069824,0.563864529132843,0.42268234491348267,64
