fold,mae,rmse,r2,pearson,spearman,samples
1,0.9914875030517578,1.5625020265579224,0.27387523651123047,0.5334222316741943,0.43246492743492126,65
2,1.187424898147583,1.7824163436889648,0.2227422595024109,0.4914392828941345,0.6520931124687195,65
3,0.9044184684753418,1.461342215538025,0.43492740392684937,0.6755728721618652,0.6065576672554016,65
4,1.0640429258346558,1.5876593589782715,0.29274845123291016,0.5487229824066162,0.622953474521637,64
5,0.9549407362937927,1.3528469800949097,0.3958415985107422,0.6327638030052185,0.5895951390266418,65
6,1.005707025527954,1.3736149072647095,0.4923507571220398,0.7060320973396301,0.6540725231170654,64
7,1.512632131576538,2.188027858734131,0.32523417472839355,0.5852800011634827,0.6731017827987671,64
8,0.8136839866638184,1.1887811422348022,0.3331264853477478,0.6011704206466675,0.6418933868408203,64
9,1.004469394683838,1.373316764831543,0.39059823751449585,0.6315613985061646,0.6142821311950684,63
10,0.7964869737625122,1.3740121126174927,0.5052880048751831,0.7350800633430481,0.7151888012886047,64
