fold,mae,rmse,r2,pearson,spearman,samples
1,0.9823359847068787,1.267289400100708,0.5884816646575928,0.7715955376625061,0.6518483757972717,114
2,1.077304720878601,1.4465633630752563,0.6900713443756104,0.8310810327529907,0.7535998821258545,113
3,0.8965177536010742,1.1237000226974487,0.6238510012626648,0.7907300591468811,0.6858171820640564,113
4,0.904761552810669,1.2073965072631836,0.8404457569122314,0.9195667505264282,0.8133857250213623,113
5,1.0159893035888672,1.4577614068984985,0.5301368236541748,0.7292308211326599,0.6024389863014221,113
6,0.9247549176216125,1.2862838506698608,0.7201422452926636,0.8519827723503113,0.8095074892044067,113
7,0.956043541431427,1.3269227743148804,0.7625495195388794,0.8735356330871582,0.7676135301589966,113
8,0.919127345085144,1.2456605434417725,0.7694255113601685,0.8799565434455872,0.8077317476272583,113
9,1.1059893369674683,1.4951366186141968,0.48925089836120605,0.7029048800468445,0.6339894533157349,113
10,1.014475703239441,1.3684674501419067,0.7458934783935547,0.8651171326637268,0.7038614749908447,113
