fold,mae,rmse,r2,pearson,spearman,samples,valid_samples
1,0.8441367694247852,1.3150643767738746,0.5303083234427548,0.7472912118649364,0.6747184318807885,220,220
2,0.9693870595818784,1.6469614104085326,0.465381032642576,0.7038254630464913,0.671681390494514,219,219
3,0.9702042570188644,1.552882724906245,0.3641268029961783,0.645133273713383,0.5969365415957973,220,220
4,0.94160700663584,1.6018099847402816,0.4442127584645273,0.7073551393094959,0.7369445416428312,219,219
5,1.0211306409727443,1.6784650316668648,0.4916351078851039,0.7309697491427044,0.7501067454954116,220,220
