fold,mae,rmse,r2,pearson,spearman,samples
1,0.9617949724197388,1.386629343032837,0.4281383752822876,0.6593651175498962,0.5405429005622864,65
2,1.2706022262573242,1.9169714450836182,0.10096204280853271,0.38621827960014343,0.5188544988632202,65
3,1.0175352096557617,1.413177251815796,0.4715625047683716,0.7101169228553772,0.5424033403396606,65
4,1.1320980787277222,1.5778669118881226,0.30144596099853516,0.5858147740364075,0.6482104659080505,64
5,0.9724699258804321,1.4175673723220825,0.336652934551239,0.5865464210510254,0.5429497361183167,65
6,0.9219446778297424,1.3648138046264648,0.4988352060317993,0.7099840044975281,0.6924274563789368,64
7,1.5971369743347168,2.300609588623047,0.2540096044540405,0.5256063938140869,0.6125776171684265,64
8,1.0172266960144043,1.5148954391479492,-0.08294141292572021,0.21849970519542694,0.3951064944267273,64
9,0.9035183787345886,1.401628851890564,0.365212619304657,0.626934289932251,0.643427312374115,63
10,0.7576072812080383,1.3663843870162964,0.5107654333114624,0.7244529128074646,0.6433904767036438,64
