fold,mae,rmse,r2,pearson,spearman,samples
1,1.0049543380737305,1.2917519807815552,0.5724411010742188,0.7626141905784607,0.647538959980011,114
2,1.15395987033844,1.5990582704544067,0.6212824583053589,0.7940938472747803,0.6914774179458618,113
3,0.9300618171691895,1.226303219795227,0.5520239472389221,0.747270405292511,0.7020649909973145,113
4,1.0116382837295532,1.3650439977645874,0.7960602045059204,0.8965493440628052,0.7591406106948853,113
5,0.9941282272338867,1.3584809303283691,0.5919573307037354,0.7703123688697815,0.6414596438407898,113
6,1.0888594388961792,1.4404441118240356,0.649040937423706,0.8110371828079224,0.6856633424758911,113
7,0.920281171798706,1.374617338180542,0.7451729774475098,0.8632605075836182,0.6849880814552307,113
8,0.9870449304580688,1.3855412006378174,0.7147334814071655,0.8456628322601318,0.7702998518943787,113
9,1.0320097208023071,1.475860834121704,0.5023354291915894,0.7111057043075562,0.6550487875938416,113
10,1.2930489778518677,1.6949790716171265,0.6101697087287903,0.7923561930656433,0.5880393385887146,113
